Metric,Panel,Model,1,5,22
RMSE,SP500/YangZhang,LSTM,1e-05,4e-05,0.00013
RMSE,SP500/YangZhang,CNN_LSTM,1e-05,3e-05,9e-05
RMSE,SP500/YangZhang,Transformer,2e-05,4e-05,9e-05
RMSE,SP500/YangZhang,PatchTST_lite,4e-05,4e-05,9e-05
RMSE,NASDAQ100/CC,HAR,0.00055,0.00055,0.00055
RMSE,NASDAQ100/CC,ARIMA,0.00055,0.00055,0.00055
RMSE,NASDAQ100/CC,GARCH,0.00051,0.00053,0.00053
RMSE,NASDAQ100/CC,LSTM,0.0005,0.00056,0.00054
RMSE,NASDAQ100/CC,CNN_LSTM,0.0005,0.00052,0.00052
RMSE,NASDAQ100/CC,Transformer,0.0005,0.00051,0.00052
RMSE,NASDAQ100/CC,PatchTST_lite,0.0005,0.00052,0.00052
RMSE,NASDAQ100/Parkinson,HAR,0.0002,0.00022,0.00023
RMSE,NASDAQ100/Parkinson,ARIMA,0.00021,0.00022,0.00023
RMSE,NASDAQ100/Parkinson,GARCH,0.00025,0.00028,0.00027
RMSE,NASDAQ100/Parkinson,LSTM,0.00019,0.00022,0.00023
RMSE,NASDAQ100/Parkinson,CNN_LSTM,0.00019,0.00022,0.00023
RMSE,NASDAQ100/Parkinson,Transformer,0.0002,0.00023,0.00029
RMSE,NASDAQ100/Parkinson,PatchTST_lite,0.0002,0.00022,0.00027
RMSE,NASDAQ100/YangZhang,HAR,2e-05,6e-05,0.00015
RMSE,NASDAQ100/YangZhang,ARIMA,2e-05,6e-05,0.00015
RMSE,NASDAQ100/YangZhang,GARCH,0.0001,9e-05,0.00016
RMSE,NASDAQ100/YangZhang,LSTM,2e-05,6e-05,0.00016
RMSE,NASDAQ100/YangZhang,CNN_LSTM,2e-05,5e-05,0.00017
RMSE,NASDAQ100/YangZhang,Transformer,4e-05,5e-05,0.00017
RMSE,NASDAQ100/YangZhang,PatchTST_lite,5e-05,6e-05,0.00015
RMSE,DJIA/CC,HAR,0.00025,0.00025,0.00025
RMSE,DJIA/CC,ARIMA,0.00025,0.00025,0.00025
RMSE,DJIA/CC,GARCH,0.00023,0.00024,0.00025
RMSE,DJIA/CC,LSTM,0.00023,0.00024,0.00024
RMSE,DJIA/CC,CNN_LSTM,0.00023,0.00025,0.00025
RMSE,DJIA/CC,Transformer,0.00023,0.00024,0.00024
RMSE,DJIA/CC,PatchTST_lite,0.00029,0.00024,0.00025
RMSE,DJIA/Parkinson,HAR,0.00011,0.00012,0.00012
RMSE,DJIA/Parkinson,ARIMA,0.00011,0.00012,0.00012
RMSE,DJIA/Parkinson,GARCH,0.00012,0.00014,0.00014
RMSE,DJIA/Parkinson,LSTM,9e-05,0.00013,0.00013
RMSE,DJIA/Parkinson,CNN_LSTM,0.0001,0.00013,0.00013
RMSE,DJIA/Parkinson,Transformer,9e-05,0.00013,0.00012
RMSE,DJIA/Parkinson,PatchTST_lite,0.0001,0.00012,0.00013
RMSE,DJIA/YangZhang,HAR,1e-05,3e-05,7e-05
RMSE,DJIA/YangZhang,ARIMA,1e-05,3e-05,8e-05
RMSE,DJIA/YangZhang,GARCH,6e-05,5e-05,8e-05
RMSE,DJIA/YangZhang,LSTM,1e-05,3e-05,7e-05
RMSE,DJIA/YangZhang,CNN_LSTM,1e-05,3e-05,7e-05
