Index,Estimator,Horizon,Model,QLIKE,RMSE,MAE,QLIKE_rank
SP500,Parkinson,5,ARIMA,-8.52458502156471,0.00015574088017390422,4.981745330423825e-05,7.0
SP500,Parkinson,5,GARCH,-8.562164489151492,0.00018535170069555832,8.892476284038123e-05,5.0
SP500,Parkinson,5,LSTM,-8.681441141679404,0.00016016533491166658,6.242062243568303e-05,1.0
SP500,Parkinson,5,CNN_LSTM,-8.67499596761475,0.00016845435268881317,6.444341011478273e-05,2.0
SP500,Parkinson,5,Transformer,-8.654445918027667,0.00017338295526120833,6.311691333748406e-05,3.0
SP500,Parkinson,5,PatchTST_lite,-8.62897884694446,0.000155808240449898,5.573954330055716e-05,4.0
SP500,Parkinson,22,HAR,-8.43388341707051,0.0001595064911459627,5.4213465040234834e-05,4.0
SP500,Parkinson,22,ARIMA,-8.374511054946911,0.00015934934150252193,5.3613187668975144e-05,6.0
SP500,Parkinson,22,GARCH,-8.479500810933207,0.00018269344988691312,9.830053511199793e-05,3.0
SP500,Parkinson,22,LSTM,-8.601913422928153,0.00016031505113702112,7.205871381417932e-05,1.0
SP500,Parkinson,22,CNN_LSTM,-8.283262719514148,0.00017348065876663223,6.933659988593669e-05,7.0
SP500,Parkinson,22,Transformer,-8.550363044779534,0.00015940033813830796,6.623166230225474e-05,2.0
SP500,Parkinson,22,PatchTST_lite,-8.400016254683702,0.00016522589009378065,7.205529337099616e-05,5.0
SP500,YangZhang,1,HAR,-8.536895099056423,9.053670420614885e-06,4.015357838736285e-06,2.0
SP500,YangZhang,1,ARIMA,-8.536945772167613,9.084827013663292e-06,4.027770968031913e-06,1.0
SP500,YangZhang,1,GARCH,-8.460571090011406,7.714471617795913e-05,3.88549430499956e-05,7.0
SP500,YangZhang,1,LSTM,-8.535869396009565,1.0514343510606586e-05,5.539458629750919e-06,3.0
SP500,YangZhang,1,CNN_LSTM,-8.534588626536195,1.1954264036397184e-05,6.2687144393909084e-06,4.0
SP500,YangZhang,1,Transformer,-8.526692289961682,2.4012227735963513e-05,1.1457420168003899e-05,5.0
SP500,YangZhang,1,PatchTST_lite,-8.516218784948885,3.744787425758465e-05,1.756019741318614e-05,6.0
SP500,YangZhang,5,HAR,-8.507272917548796,3.5028707813045755e-05,1.587639350794727e-05,2.0
SP500,YangZhang,5,ARIMA,-8.508075507629739,3.515263431769636e-05,1.5861537551511956e-05,1.0
SP500,YangZhang,5,GARCH,-8.453684105278148,6.582097763031408e-05,3.693593299050613e-05,7.0
SP500,YangZhang,5,LSTM,-8.503739247050994,3.585180119335681e-05,1.592248043581382e-05,4.0
SP500,YangZhang,5,CNN_LSTM,-8.504053653053516,3.223845140598227e-05,1.4854460006151858e-05,3.0
SP500,YangZhang,5,Transformer,-8.488592031690834,3.7607438833589104e-05,2.0096523690493276e-05,6.0
SP500,YangZhang,5,PatchTST_lite,-8.49696527316585,4.295753946138052e-05,2.047322506690446e-05,5.0
SP500,YangZhang,22,HAR,-8.28580725553851,8.720726427275421e-05,4.706421398827321e-05,2.0
SP500,YangZhang,22,ARIMA,-8.26214935709759,9.107881560280534e-05,4.926677396327647e-05,3.0
SP500,YangZhang,22,GARCH,-8.304522309911109,0.00010525768457664866,6.616633246363574e-05,1.0
SP500,YangZhang,22,LSTM,-8.256841570490945,0.00012676816147359958,7.061748729162073e-05,4.0
SP500,YangZhang,22,CNN_LSTM,-8.185307465635542,9.122244454131301e-05,5.006337383296506e-05,7.0
SP500,YangZhang,22,Transformer,-8.252001115922695,8.60687693212173e-05,4.461784321617918e-05,6.0
SP500,YangZhang,22,PatchTST_lite,-8.252318394188784,8.97190233916543e-05,4.627745074536904e-05,5.0
NASDAQ100,CC,1,HAR,-5.56196024706559,0.0005457382105053803,0.00019650194496346245,7.0
NASDAQ100,CC,1,ARIMA,-5.562638115032744,0.0005476978997009748,0.00019634635756317587,6.0
NASDAQ100,CC,1,GARCH,-7.616802551932332,0.0005149959409390683,0.0002272364545154215,4.0
NASDAQ100,CC,1,LSTM,-7.6443734032320165,0.0005005263562885374,0.00021678463332344873,1.0
NASDAQ100,CC,1,CNN_LSTM,-7.644059208496693,0.0004967523551381428,0.0002178674759246079,2.0
NASDAQ100,CC,1,Transformer,-7.624207937699587,0.000502866511124623,0.0002048281988197691,3.0
NASDAQ100,CC,1,PatchTST_lite,-7.568225415178367,0.0005021190298936421,0.0002147931459323388,5.0
NASDAQ100,CC,5,HAR,-5.402941987960666,0.0005487189694774671,0.00019679317553459466,7.0
NASDAQ100,CC,5,ARIMA,-5.48700355221302,0.0005484361316756871,0.00019655776478039,6.0
NASDAQ100,CC,5,GARCH,-7.561789766338346,0.0005272648908365295,0.00023110937056174835,2.0
NASDAQ100,CC,5,LSTM,-7.5278090373500985,0.000560243646109906,0.0002288303233347671,3.0
NASDAQ100,CC,5,CNN_LSTM,-7.4611483542837,0.0005237185614242701,0.00021460909444582902,4.0
NASDAQ100,CC,5,Transformer,-7.583621757551044,0.0005144893848403342,0.00021390180700860085,1.0
NASDAQ100,CC,5,PatchTST_lite,-7.445602466442762,0.0005234152489046581,0.00020356559104607572,5.0
NASDAQ100,CC,22,HAR,-5.093997473957289,0.0005526754132062221,0.0002002900264593096,7.0
NASDAQ100,CC,22,ARIMA,-5.349956537559715,0.000550840129275179,0.00019833024999132596,6.0
NASDAQ100,CC,22,GARCH,-7.514755881118574,0.0005290103599834776,0.00024039682471571963,2.0
NASDAQ100,CC,22,LSTM,-7.4351913535092145,0.0005352009082551996,0.00023204903551785934,4.0
NASDAQ100,CC,22,CNN_LSTM,-7.524607457282677,0.0005235632057848498,0.00022325429429663926,1.0
NASDAQ100,CC,22,Transformer,-7.251144107813229,0.0005157970242301429,0.00021410444243763667,5.0
NASDAQ100,CC,22,PatchTST_lite,-7.492319716203177,0.0005247404908438413,0.00022746436159087636,3.0
NASDAQ100,Parkinson,1,HAR,-8.150590343144687,0.00020455349407352984,7.482151795607257e-05,6.0
NASDAQ100,Parkinson,1,ARIMA,-8.155137953553037,0.0002076215612329545,7.422776764899253e-05,5.0
NASDAQ100,Parkinson,1,GARCH,-8.063125238308807,0.0002536282264825718,0.00014558678619019445,7.0
